Sale ID,Date,Item ID,Batch ID,Product Type,Species,Grade,Finish,Dominant Color,Color Count (#),Customer Type,Customer Name,Country,City,Channel,Lead Source,Price (CAD),Discount (CAD),Shipping (CAD),Taxes Collected (CAD),Payment Method,COA #,Shipped Date,Consignment? (Y/N),Consignment Owner,Export Permit (PDF link),length,width,weight,Channel_Type,Days_To_Ship,Jewelry Type,Metal Type
S-0001,2025-04-13,I-0001,B-2025-001,Gemstone,Ammolite Triplet,AA,Coated,Blue,2,Retail Collector,Olivia Thompson,Canada,Montreal,In-Person,Instagram,859.95,39.1,31.78,41.04,PayPal,COA-000100,2025-06-22,N,,C:\Permits\EXP-5000.pdf,63.0,39.0,14.2,Wholesale,70,,
S-0002,2025-09-28,I-0002,B-2025-002,Gemstone,Ammolite Triplet,A,Coated,Purple,2,Gallery,Evelyn Dubois,Canada,Montreal,Online,Walk-in,163.8,1.39,0.0,8.12,Credit Card,COA-000101,2025-09-29,N,,C:\Permits\EXP-5001.pdf,39.0,42.0,10.8,Wholesale,1,,
S-0003,2025-04-17,I-0003,B-2025-003,Gemstone,Ammolite Triplet,AA,Coated,Orange,2,Retail Collector,Lucas Smith,Canada,Montreal,Online,Instagram,470.4,44.46,33.55,21.3,PayPal,COA-000102,2025-11-11,Y,,C:\Permits\EXP-5002.pdf,64.0,21.0,10.0,Wholesale,208,,
S-0004,2025-03-13,I-0004,B-2025-004,Gemstone,Ammolite Triplet,AA,Coated,Red,3,Gallery,Ethan Clark,USA,New York,In-Person,Referral,485.1,42.38,6.47,0.0,Credit Card,COA-000103,2025-07-24,Y,GemWorld,C:\Permits\EXP-5003.pdf,42.0,33.0,5.0,Wholesale,133,,
S-0005,2025-07-08,I-0005,B-2025-005,Gemstone,Ammolite Triplet,A,Coated,Orange,2,Retail Collector,Emma White,Canada,Calgary,In-Person,Instagram,225.4,9.09,19.29,10.82,PayPal,COA-000104,2025-10-14,N,,C:\Permits\EXP-5004.pdf,46.0,49.0,19.2,Wholesale,98,,
S-0006,2025-01-21,I-0006,B-2025-006,Gemstone,Ammolite Triplet,AA,Coated,Orange,3,Gallery,Chloe Garcia,USA,Portland,In-Person,Walk-in,637.0,18.71,0.0,0.0,PayPal,COA-000105,2025-11-11,N,,C:\Permits\EXP-5005.pdf,70.0,26.0,12.3,Wholesale,294,,
S-0007,2025-04-13,I-0007,B-2025-007,Gemstone,Ammolite Triplet,AAA,Coated,Orange,3,Gallery,Mia Nguyen,USA,Los Angeles,Wholesale,Website,547.2,26.53,20.02,0.0,Bank Transfer,COA-000106,2025-04-15,N,,C:\Permits\EXP-5006.pdf,36.0,38.0,10.1,Wholesale,2,,
S-0008,2025-05-02,I-0008,B-2025-008,Gemstone,Ammolite Triplet,AAA,Coated,Blue,3,Gallery,Amelia Dubois,USA,Portland,Online,Walk-in,1122.0,21.38,0.0,0.0,Credit Card,COA-000107,2025-10-12,N,,C:\Permits\EXP-5007.pdf,51.0,55.0,8.5,Wholesale,163,,
S-0009,2025-08-03,I-0009,B-2025-009,Gemstone,Ammolite Triplet,AA,Coated,Yellow,3,Retail Collector,Owen Taylor,Canada,Montreal,Wholesale,Referral,1159.2,32.11,26.89,56.35,Credit Card,COA-000108,2025-11-07,N,,C:\Permits\EXP-5008.pdf,69.0,48.0,8.6,Wholesale,96,,
S-0010,2025-03-29,I-0010,B-2025-010,Gemstone,Ammolite Triplet,AA,Coated,Yellow,3,Gallery,Mia Campbell,Canada,Vancouver,Online,Website,204.75,23.81,33.67,9.05,Credit Card,COA-000109,2025-04-03,N,,C:\Permits\EXP-5009.pdf,39.0,15.0,11.9,Wholesale,5,,
S-0011,2025-04-10,I-0011,B-2025-011,Gemstone,Ammolite Triplet,AA,Coated,Blue,2,Retail Collector,James Turner,USA,Seattle,Online,Referral,737.1,49.74,29.23,0.0,Bank Transfer,COA-000110,2025-06-09,Y,StoneHouse,C:\Permits\EXP-5010.pdf,39.0,54.0,15.7,Wholesale,60,,
S-0012,2025-06-01,I-0012,B-2025-012,Gemstone,Ammolite Triplet,A,Coated,Yellow,2,Gallery,William Dubois,USA,Seattle,In-Person,Instagram,119.0,0.57,9.67,0.0,PayPal,COA-000111,2025-06-02,N,,C:\Permits\EXP-5011.pdf,70.0,17.0,10.5,Wholesale,1,,
S-0013,2025-05-11,I-0013,B-2025-013,Gemstone,Ammolite Triplet,AAA,Coated,Yellow,4,Retail Collector,Sebastian White,USA,Seattle,Online,Walk-in,1612.8,19.7,0.0,0.0,PayPal,COA-000112,2025-07-14,N,,C:\Permits\EXP-5012.pdf,72.0,56.0,9.1,Wholesale,64,,
S-0014,2025-05-30,I-0014,B-2025-014,Gemstone,Ammolite Triplet,AA,Coated,Red,2,Retail Collector,Evelyn Thompson,USA,Los Angeles,Online,Instagram,409.5,37.11,14.09,0.0,Credit Card,COA-000113,2025-05-31,N,,C:\Permits\EXP-5013.pdf,26.0,45.0,18.9,Wholesale,1,,
S-0015,2025-11-05,I-0015,B-2025-015,Gemstone,Ammolite Triplet,A,Coated,Orange,1,Retail Collector,Logan Turner,Canada,Calgary,Wholesale,Walk-in,128.0,17.54,0.0,5.52,Credit Card,COA-000114,2025-11-08,N,,C:\Permits\EXP-5014.pdf,32.0,40.0,5.3,Wholesale,3,,
S-0016,2025-09-15,I-0016,B-2025-016,Gemstone,Ammolite Triplet,AA,Coated,Green,2,Retail Collector,Chloe Lopez,USA,New York,Wholesale,Referral,857.5,43.98,15.29,0.0,Credit Card,COA-000115,2025-09-22,Y,NorthArt,C:\Permits\EXP-5015.pdf,50.0,49.0,24.2,Wholesale,7,,
S-0017,2025-10-21,I-0017,B-2025-017,Gemstone,Ammolite Triplet,AA,Coated,Red,3,Gallery,Evelyn Smith,USA,Seattle,Wholesale,Referral,241.5,26.41,27.42,0.0,PayPal,COA-000116,2025-10-26,Y,NorthArt,C:\Permits\EXP-5016.pdf,30.0,23.0,16.8,Wholesale,5,,
S-0018,2025-07-11,I-0018,B-2025-018,Gemstone,Ammolite Triplet,A,Coated,Orange,1,Gallery,Amelia Lopez,Canada,Calgary,Online,Walk-in,168.3,10.11,0.0,7.91,Bank Transfer,COA-000117,2025-07-17,N,,C:\Permits\EXP-5017.pdf,51.0,33.0,22.5,Wholesale,6,,
S-0019,2025-10-04,I-0019,B-2025-019,Gemstone,Ammolite Triplet,A,Coated,Orange,2,Gallery,Ethan Nguyen,USA,New York,Online,Walk-in,233.7,32.55,0.0,0.0,PayPal,COA-000118,2025-10-07,Y,NorthArt,C:\Permits\EXP-5018.pdf,57.0,41.0,13.4,Wholesale,3,,
S-0020,2025-06-10,I-0020,B-2025-020,Gemstone,Ammolite Triplet,AAA,Coated,Purple,4,Retail Collector,Daniel Patel,Canada,Vancouver,Online,Referral,428.4,33.95,36.37,19.72,Bank Transfer,COA-000119,2025-08-15,Y,GemWorld,C:\Permits\EXP-5019.pdf,63.0,17.0,15.5,Wholesale,66,,
S-0021,2025-11-10,I-0021,B-2025-021,Gemstone,Ammolite Triplet,A,Coated,Orange,1,Gallery,Michael Anderson,USA,Los Angeles,In-Person,Referral,233.2,41.11,23.64,0.0,PayPal,COA-000120,2025-11-12,Y,NorthArt,C:\Permits\EXP-5020.pdf,53.0,44.0,9.1,Wholesale,2,,
S-0022,2025-01-22,I-0022,B-2025-022,Gemstone,Ammolite Triplet,A,Coated,Green,2,Retail Collector,Henry Garcia,USA,Portland,In-Person,Referral,125.4,43.02,33.9,0.0,Credit Card,COA-000121,2025-02-07,N,,C:\Permits\EXP-5021.pdf,33.0,38.0,7.0,Wholesale,16,,
S-0023,2025-09-10,I-0023,B-2025-023,Gemstone,Ammolite Triplet,AA,Coated,Red,2,Gallery,Grace Campbell,Canada,Vancouver,In-Person,Instagram,1303.05,28.82,12.86,63.71,Bank Transfer,COA-000122,2025-11-11,Y,GemWorld,C:\Permits\EXP-5022.pdf,73.0,51.0,16.8,Wholesale,62,,
S-0024,2025-08-24,I-0024,B-2025-024,Gemstone,Ammolite Triplet,A,Coated,Orange,1,Retail Collector,Olivia Lee,USA,Portland,Online,Referral,63.0,30.0,34.14,0.0,PayPal,COA-000123,2025-08-29,Y,NorthArt,C:\Permits\EXP-5023.pdf,30.0,21.0,13.4,Wholesale,5,,
S-0025,2025-02-18,I-0025,B-2025-025,Gemstone,Ammolite Triplet,A,Coated,Orange,2,Gallery,Emma Campbell,Canada,Calgary,In-Person,Walk-in,132.0,41.91,0.0,4.5,Bank Transfer,COA-000124,2025-08-04,N,,C:\Permits\EXP-5024.pdf,33.0,40.0,17.8,Wholesale,167,,
S-0026,2025-02-28,I-0026,B-2025-026,Gemstone,Ammolite Triplet,A,Coated,Orange,1,Gallery,Benjamin Moore,Canada,Vancouver,Online,Instagram,176.8,19.29,20.26,7.88,PayPal,COA-000125,2025-03-25,N,,C:\Permits\EXP-5025.pdf,68.0,26.0,19.1,Wholesale,25,,
S-0027,2025-06-19,I-0027,B-2025-027,Gemstone,Ammolite Triplet,AA,Coated,Green,3,Retail Collector,Elizabeth White,Canada,Toronto,Online,Instagram,110.25,42.87,24.42,3.37,Credit Card,COA-000126,2025-06-20,N,,C:\Permits\EXP-5026.pdf,21.0,15.0,11.9,Wholesale,1,,
S-0028,2025-07-07,I-0028,B-2025-028,Gemstone,Ammolite Triplet,AAA,Coated,Green,4,Retail Collector,James Turner,Canada,Vancouver,In-Person,Referral,1136.8,43.18,38.75,54.68,PayPal,COA-000127,2025-11-11,Y,,C:\Permits\EXP-5027.pdf,49.0,58.0,7.0,Wholesale,127,,
S-0029,2025-09-28,I-0029,B-2025-029,Gemstone,Ammolite Triplet,AAA,Coated,Yellow,4,Gallery,Noah Garcia,Canada,Vancouver,In-Person,Instagram,1162.8,3.2,9.01,57.98,Credit Card,COA-000128,2025-09-29,N,,C:\Permits\EXP-5028.pdf,51.0,57.0,16.0,Wholesale,1,,
S-0030,2025-07-09,I-0030,B-2025-030,Gemstone,Ammolite Triplet,A,Coated,Orange,2,Retail Collector,Lucas Singh,USA,New York,Online,Instagram,265.2,12.32,29.69,0.0,PayPal,COA-000129,2025-09-12,Y,StoneHouse,C:\Permits\EXP-5029.pdf,52.0,51.0,12.4,Wholesale,65,,
S-0031,2025-06-24,I-0031,B-2025-031,Gemstone,Ammolite Triplet,A,Coated,Orange,2,Gallery,Emma Dubois,Canada,Toronto,In-Person,Website,274.5,14.77,21.68,12.99,Credit Card,COA-000130,2025-06-27,N,,C:\Permits\EXP-5030.pdf,61.0,45.0,21.0,Wholesale,3,,
